Firm Name,CRD Number,AUM (Millions),City,State,Website
"SADDLE POINT MANAGEMENT, L.P.",329856,857.17,NEW YORK,NY,"https://www.linkedin.com/company/saddle-point-management-l-p, https://saddlepointmanagement.com/"
BACKCAST PARTNERS MANAGEMENT LLC,291785,854.57,NEW YORK,NY,"https://www.backcastpartners.com/, https://www.linkedin.com/company/backcastpartners/"
"DLJ REAL ESTATE CAPITAL PARTNERS, LLC",106238,853.01,NEW YORK,NY,http://www.dljrecp.com
"ARGAND PARTNERS, LP",282127,852.46,NEW YORK,NY,"http://www.argandequity.com/, http://www.argand.com/, https://www.linkedin.com/company/argand-partners/"
"MAYTECH GLOBAL INVESTMENTS, LLC",285985,848.47,NEW YORK,NY,"https://www.linkedin.com/company/maytech-global-investments/, http://www.maytechglobal.com"
"SHANNON RIVER FUND MANAGEMENT, LLC",161538,844.72,NEW YORK,NY,http://www.shannonpartners.com/
"CARTESIAN CAPITAL GROUP, LLC",159370,840.22,NEW YORK,NY,http://www.cartesiangroup.com
"GLOBAL CREDIT ADVISERS, LLC",147843,840.05,NEW YORK,NY,"http://www.globalcreditadvisers.com, https://www.linkedin.com/company/global-credit-advisers-llc/"
"OTRO CAPITAL MANAGEMENT, LLC",327232,839.43,NEW YORK,NY,"https://www.linkedin.com/company/otro-capital/, https://www.otrocapital.com"
"MALTESE CAPITAL MANAGEMENT, LLC",138175,831.06,NEW YORK,NY,https://www.maltesecap.com
"AMERICAN TRIPLE I, LLC",318463,829.17,NEW YORK,NY,"https://www.linkedin.com/company/tripleipartners, https://www.atipartners.com/"
"INVESCO PRIVATE CAPITAL, INC.",107584,822.92,NEW YORK,NY,http://www.invesco.com
CIRRUS REAL ESTATE PARTNERS LP,323210,819.11,NEW YORK,NY,"http://www.cirrusrep.com, https://www.linkedin.com/company/cirrus-real-estate-partners/, https://twitter.com/cirrusreal, https://www.instagram.com/cirrusrep"
FIRST CITIZENS INSTITUTIONAL ASSET MANAGEMENT LLC,285836,815.01,NEW YORK,NY,https://www.firstcitizens.com/commercial/solutions/asset-based-lending
SSW PARTNERS LP,325761,814.32,NEW YORK,NY,https://www.sswpartners.com
PINNBROOK CAPITAL MANAGEMENT LP,312827,812.83,NEW YORK,NY,"https://www.pinnbrook.com, https://www.linkedin.com/company/pinnbrook-capital-management"
"REGAL HEALTHCARE CAPITAL MANAGEMENT, LLC",294006,812.19,NEW YORK,NY,"https://www.regalhcp.com/, https://www.linkedin.com/company/regal-healthcare-capital-partners/"
"AFFINITY ASSET ADVISORS, LLC",312788,807.9,NEW YORK,NY,"http://affinityadv.com/, https://www.linkedin.com/company/affinityassetadvisors/about/, https://x.com/affinity_asset"
OPTIMA ASSET MANAGEMENT LLC,299826,807.39,NEW YORK,NY,https://www.optima.com
"ENHALUS CAPITAL, LP",313321,803.12,NEW YORK,NY,"https://www.enhalus.com, https://www.linkedin.com/company/enhalus-capital-lp/about/"
"POLYMER CAPITAL MANAGEMENT (US), LLC",316277,802.51,NEW YORK,NY,https://www.linkedin.com/company/polymer-capital-united-states/
CARBON DIRECT CAPITAL MANAGEMENT LLC,317548,799.97,NEW YORK,NY,"https://carbondirectcapital.com, https://www.linkedin.com/company/carbon-direct-capital"
"FLATIRON RR LLC, MANAGER SERIES",314505,798.59,NEW YORK,NY,N/A
"LISC FUND MANAGEMENT, LLC",304733,797.47,NEW YORK,NY,"https://www.linkedin.com/showcase/charlotte-housing-opportunity-investment-fund, https://www.liscfm.com, https://www.liscfundmanagement.com, https://www.liscsi.org, https://www.linkedin.com/showcase/dallas-housing-opportunity-fund, https://www.linkedin.com/showcase/new-york-forward-loan-fund, https://www.linkedin.com/showcase/pbf-family-of-funds, https://www.linkedin.com/showcase/southern-opportunity-and-resilience-fund, https://www.linkedin.com/showcase/cleveland-housing-investment-fund, https://www.linkedin.com/showcase/national-strategic-investments-impact-fund, https://www.linkedin.com/showcase/entrepreneurs-opportunity-community-loan-fund, https://www.linkedin.com/showcase/detroit-housing-for-the-future-fund, https://www.linkedin.com/company/local-initiatives-support-corporation-lisc, https://www.youtube.com/@liscstrategicinvestments, https://www.liscstrategicinvestments.org, https://www.lisc.org, https://www.liscfundmanagement.org, https://www.facebook.com/lisc.org, https://www.instagram.com/lisc_hq, https://www.youtube.com/@liscfundmanagement, https://www.liscfm.org, https://www.linkedin.com/company/lisc-fund-management, https://www.youtube.com/@localinitiatives, https://x.com/lisc_hq"
"337 FRONTIER CAPITAL, LP",284266,795.34,NEW YORK,NY,https://www.337frontier.com
KR CAPITAL LP,338229,792.36,NEW YORK,NY,https://krlp.com
ODEON CAPITAL ADVISORS LLC,307619,786.05,NEW YORK,NY,"https://www.odeonadvisors.com, https://www.jetcapitalmanagement.net"
"CORNER CAPITAL MANAGEMENT, LLC",317086,784.11,NEW YORK,NY,"https://www.linkedin.com/company/corner-capital-mgmt, http://cornerventures.com, https://x.com/cornerventure, https://www.linkedin.com/company/corner-ventures, http://cornercapitalmgmt.com"
"GLOBAL EVOLUTION USA, LLC",161677,783.5,NEW YORK,NY,"http://www.globalevolution.com, https://www.linkedin.com/company/global-evolution-usa-llc/"
DELTEC ASSET MANAGEMENT LLC,104068,782.76,NEW YORK,NY,"http://www.deltec-ny.com, https://www.linkedin.com/company/deltec-asset-management"
AMHERST CAPITAL MANAGEMENT LLC,174130,782.56,NEW YORK,NY,"https://www.twitter.com/amherstcapital, https://www.amherst.com/, https://www.linkedin.com/company/amherst/"
MOERUS CAPITAL MANAGEMENT LLC,282399,778.56,NEW YORK,NY,"https://moeruscap.com, https://www.linkedin.com/company/moerus-capital-management-llc/, https://x.com/moeruscapital/"
"FINE CAPITAL PARTNERS, L.P.",156889,776.7,NEW YORK,NY,N/A
SIERRA CREST INVESTMENT MANAGEMENT LLC,300069,772.6,NEW YORK,NY,N/A
"WHITEFORT CAPITAL MANAGEMENT, LP",288534,772.57,NEW YORK,NY,http://www.whitefortcapital.com
"KEYFRAME CAPITAL PARTNERS, L.P.",305812,772.44,NEW YORK,NY,"https://www.linkedin.com/company/keyframecapital, https://www.keyframecapital.com"
FINTECH COLLECTIVE MANAGEMENT LLC,288031,771.14,NEW YORK,NY,"https://twitter.com/fintech_io, https://www.fintech.io/, https://www.linkedin.com/company/fintech-collective/"
WATERFRONT CAPITAL PARTNERS LLC,167801,770.69,NEW YORK,NY,https://www.linkedin.com/company/waterfront-capital-partners/
"ALTUM CAPITAL MANAGEMENT, LLC",160123,770.62,NEW YORK,NY,"https://www.linkedin.com/company/altum-capital-management/about/, https://www.altumcredit.com"
MOON CAPITAL MANAGEMENT LP,156460,757.96,NEW YORK,NY,"https://www.mooncapital.com, https://www.linkedin.com/company/moon-capital"
"SUMMIT STREET CAPITAL MANAGEMENT, LLC",160129,757.47,NEW YORK,NY,"http://www.ssvfunds.com, https://www.linkedin.com/company/summit-street-capital-management/"
"CCMP GROWTH ADVISORS, LP",322926,756.82,NEW YORK,NY,http://www.ccmpgrowth.com
GCP CAPITAL PARTNERS LLC,154457,754.88,NEW YORK,NY,http://www.gcpcapital.com/
TRI LOCUM PARTNERS LP,309678,752.91,NEW YORK,NY,N/A
"DME ADVISORS, LP",157074,749.4,NEW YORK,NY,"https://www.greenlightcapital.com, http://www.linkedin.com/company/greenlight-capital/about/"
DERBY LANE PARTNERS LP,334739,746.27,NEW YORK,NY,"https://www.derbyln.com/, https://www.linkedin.com/company/derby-lane-partners"
"WATER ASSET MANAGEMENT, LLC",151508,746.13,NEW YORK,NY,"http://www.pvwater.com, http://www.waterinv.com"
"TREO ASSET MANAGEMENT, LLC",164982,744.4,NEW YORK,NY,http://www.treoam.com
OLD FARM PARTNERS LP,283573,744.15,NEW YORK,NY,"http://www.oldfarmpartners.com/, https://www.linkedin.com/company/old-farm-partners/"
QUAD PARTNERS LLC,160097,732.24,NEW YORK,NY,"http://www.quadpartners.com, https://www.linkedin.com/company/quad-partners-llc"
TRIMER CAPITAL MANAGEMENT LP,319428,731.15,NEW YORK,NY,"https://www.trimercap.com/, https://www.crunchbase.com/organization/trimer-capital, https://www.linkedin.com/company/trimer"
"ACHIEVE PARTNERS MANAGEMENT, LLC",299883,722.25,NEW YORK,NY,"https://www.linkedin.com/company/achieve-partners-llc/, http://www.achievepartners.com"
"AMPFIELD MANAGEMENT, L.P.",292722,721.26,NEW YORK,NY,"https://www.linkedin.com/company/ampfield-management/, https://www.ampfieldmanagement.com"
BAILLIE GIFFORD INTERNATIONAL LLC,305849,715.39,NEW YORK,NY,"https://www.linkedin.com/company/baillie-gifford/, https://www.facebook.com/baillie-gifford-co-152587304764159, https://www.youtube.com/user/bailliegifford, https://www.linkedin.com/showcase/baillie-gifford-usa/, https://twitter.com/bailliegifford?lang=en, https://www.bailliegifford.com, https://www.scottishmortgage.com/en/uk/individual-investors, https://www.linkedin.com/company/scottish-mortgage-uk/?viewasmember=true, https://www.youtube.com/channel/uc8i_ax5b8dd2lpkiypgy4kg, https://twitter.com/scotmortgage_uk/"
"MERCHANTS INVESTMENT PARTNERS, LLC",314794,711.24,NEW YORK,NY,N/A
TAPROOT MANAGEMENT LP,335061,710.27,NEW YORK,NY,"https://www.taprootmanagement.com/, https://www.linkedin.com/company/taproot-management"
"NEW LEGACY GROUP, LLC",160969,707.85,NEW YORK,NY,"https://www.crunchbase.com/organization/new-legacy-group, http://www.newlegacy.com/, https://www.linkedin.com/company/new-legacy/"
HALLE CAPITAL MANAGEMENT LP,307156,706.42,NEW YORK,NY,"https://www.linkedin.com/company/halle-capital-management, https://hallecapital.com/"
LEPERCQ DE NEUFLIZE ASSET MANAGEMENT LLC,120109,704.04,NEW YORK,NY,"https://www.linkedin.com/company/lepercq-de-neuflize-&-co-/, http://www.lepercq.com/?go=lepercq-de-neuflize-asset-management-llc"
THE QUARRY LP,323449,702.54,NEW YORK,NY,"https://www.linkedin.com/company/the-quarry-lp/, https://quarrylp.com/"
FALCONPOINT CAPITAL PARTNERS LLC,327260,700.19,NEW YORK,NY,https://www.falconpointpartners.com/
"APIS CAPITAL ADVISORS, LLC",131200,700.06,NEW YORK,NY,"https://www.linkedin.com/company/apis-capital-advisors-llc/, https://www.apiscapital.com"
SNOWHAWK LP,325176,699.26,NEW YORK,NY,"http://www.snowhawkpartners.com, https://www.linkedin.com/company/ snowhawk/"
"AURELIUS CAPITAL MANAGEMENT, LP",157325,697.88,NEW YORK,NY,http://www.aurelius-capital.com
RIVA RIDGE CAPITAL MANAGEMENT LP,137716,694.65,NEW YORK,NY,http://www.rivaridgecapital.com
LONG ARC CAPITAL LP,290245,693.8,NEW YORK,NY,"https://www.linkedin.com/company/long-arc-capital/, https://www.longarc.com"
"PRAESIDIUM INVESTMENT MANAGEMENT COMPANY, LLC",137980,693.5,NEW YORK,NY,"https://www.linkedin.com/company/praesidium-investment-management-company-llc/, https://www.praesidiumim.com"
RMWC,147359,690.4,NEW YORK,NY,"https://www.linkedin.com/company/rmwchome/, http://www.rmwc.com"
CKC CAPITAL LLC,168967,687.07,NEW YORK,NY,"http://www.ckccapital.com, https://www.linkedin.com/company/13997460/admin/"
MAVERICK REAL ESTATE PARTNERS LLC,269825,684.43,NEW YORK,NY,"http://www.maverickrep.com, https://www.linkedin.com/company/maverickrep/about/"
NET RETURN ASSET MANAGEMENT LLC,159895,683.11,NEW YORK,NY,N/A
"LYRIC CAPITAL MANAGEMENT GROUP, L.P.",299917,682.66,NEW YORK,NY,"https://www.linkedin.com/company/lyric-capital-group, http://www.lyriccapitalgroup.com"
"ROSECLIFF VENTURE MANAGEMENT, LLC",300188,680.39,NEW YORK,NY,"http://www.rosecliff.com, https://www.linkedin.com/company/rosecliff-ventures/about/"
STELAC CAPITAL PARTNERS LLC,163081,680.01,NEW YORK,NY,http://stelac.com/capital-partners
SC MANAGEMENT LLC,311359,679.9,NEW YORK,NY,"https://www.linkedin.com/company/scholdings, https://twitter.com/sc_holdings, http://sc.holdings"
TRANSATLANTIQUE PRIVATE WEALTH LLC,169820,676.19,NEW YORK,NY,"https://www.linkedin.com/showcase/transatlantique-private-wealth/, https://www.banquetransatlantique.com/fr/international/private-wealth-usa.html"
BOW STREET LLC,158043,672.96,NEW YORK,NY,http://www.bowstreetllc.com/
STANDARD GENERAL L.P.,151831,670.27,NEW YORK,NY,"https://www.linkedin.com/company/standardgeneralnyc/, http://www.standardgenerallp.com/"
SANDGLASS CAPITAL ADVISORS LLC,299418,669.41,NEW YORK,NY,http://www.sandglasscapital.com
STONE TEMPLE PARTNERS LLC,332833,668.71,NEW YORK,NY,"https://www.linkedin.com/company/stone-temple-partners-llc, https://www.stpartners.co/"
WEMBLEY STRATEGIC ADVISORY LLC,305692,662.76,NEW YORK,NY,N/A
ALTA FUNDAMENTAL ADVISERS LLC,168642,659.6,NEW YORK,NY,N/A
GATEWOOD CAPITAL MANAGEMENT LLC,282128,658.24,NEW YORK,NY,"https://www.linkedin.com/company/gatewood-capital-partners, http://www.gatewoodcapital.com"
"ASTARA CAPITAL PARTNERS, L.P.",317647,657.55,NEW YORK,NY,"https://astaracapital.com, https://www.linkedin.com/company/astara-capital-partners/"
"WARANA CAPITAL, LLC",288311,652.0,NEW YORK,NY,https://www.waranacap.com/
AUSTRALIS PARTNERS (ADVISERS) LLC,175505,651.84,NEW YORK,NY,http://www.australispartners.com
"CANARAS CAPITAL MANAGEMENT, LLC",142766,651.0,NEW YORK,NY,"https://www.linkedin.com/company/canaras-capital-management/about/, https://www.facebook.com/canaras/, http://www.canaras.com"
"LODGE HILL CAPITAL, LLC",165973,649.97,NEW YORK,NY,N/A
RADIAL EQUITY PARTNERS LP,308513,649.92,NEW YORK,NY,"https://radialequity.com/, https://www.linkedin.com/company/radial-equity-partners"
MONTROSE ADVISORS INCORPORATED,105918,647.46,NEW YORK,NY,http://www.montroseadvisors.com
"HUNTING HILL GLOBAL CAPITAL, LLC",167481,644.63,NEW YORK,NY,"http://www.huntinghill.com, https://www.linkedin.com/company/huntinghill"
"CORSAIR CAPITAL MANAGEMENT, L.P.",157029,643.48,NEW YORK,NY,https://www.corsaircap.com
"HARVEST MANAGEMENT, L.L.C.",124477,643.47,NEW YORK,NY,N/A
H PARTNERS MANAGEMENT LLC,161041,639.95,NEW YORK,NY,http://www.hpartnerslp.com
"MONEDA USA, INC.",157833,635.76,NEW YORK,NY,https://www.monedausa.com
GOALVEST ADVISORY LLC,285374,628.35,NEW YORK,NY,"https://www.linkedin.com/in/sevasti-balafas-cfa-cpwa%c2%ae-0235231/, https://goalvestadvisory.com, https://www.linkedin.com/company/goalvest-advisory"
COVISION ADVISORS LLC,285328,628.1,NEW YORK,NY,N/A
"STONE-GOFF MANAGEMENT, LLC",281205,626.15,NEW YORK,NY,"https://www.linkedin.com/company/stone-goff-partners, http://www.stonegoff.com/"
STEMPOINT CAPITAL LP,324248,624.98,NEW YORK,NY,"https://www.stempointcapital.com/, https://www.linkedin.com/company/stempoint-capital-lp"
GRANT AVENUE CAPITAL LLC,313104,623.02,NEW YORK,NY,"https://grantave.com/, https://www.linkedin.com/company/grant-avenue-capital, https://www.grantavecap.com"
BPGC MANAGEMENT LP,309916,619.23,NEW YORK,NY,https://www.bpgc.com
"KETTLE HILL CAPITAL MANAGEMENT, LLC",163722,616.64,NEW YORK,NY,http://www.kettlehill.com
ARGENTEM CREEK PARTNERS LP,282070,615.13,NEW YORK,NY,"http://www.argentemcreek.com/, https://www.linkedin.com/company/argentem-creek-partners"
"BROOKFIELD ASSET MANAGEMENT PIC BMG, LLC",312797,614.35,NEW YORK,NY,https://www.brookfield.com/
GOOD SPRINGS CAPITAL LP,326803,610.74,NEW YORK,NY,"https://goodspringscap.com/, https://www.linkedin.com/company/good-springs-capital/about/"
"NINE THIRTY CAPITAL MANAGEMENT, LLC",130545,609.29,NEW YORK,NY,http://www.930capital.com/
SPIRE CAPITAL MANAGEMENT LLC,161581,605.36,NEW YORK,NY,"https://spirecapital.com, https://www.linkedin.com/company/spire-capital-partners/"
"MAYTUS CAPITAL MANAGEMENT, LLC",288640,597.81,NEW YORK,NY,"https://www.linkedin.com/company/maytus-capital-management-llc/about/, https://maytuscapital.com/"
G2 INVESTMENT PARTNERS MANAGEMENT LLC,163921,594.24,NEW YORK,NY,"https://twitter.com/g2ipartners, https://www.g2ipartners.com, https://www.linkedin.com/company/g2-investment-partners"
ALIGNMENT GROWTH MANAGEMENT LLC,319136,593.2,NEW YORK,NY,"https://alignmentgrowth.com/, https://www.linkedin.com/company/alignment-growth, https://medium.com/@alignmentgrowth"
FAROL INVESTMENT ADVISERS LP,166565,592.4,NEW YORK,NY,"https://www.linkedin.com/company/farol-asset-management-lp/, http://www.farolam.com"
"HARSPRING CAPITAL MANAGEMENT, LLC",170882,589.77,NEW YORK,NY,N/A
"PRELUDE GROWTH PARTNERS MANAGEMENT COMPANY, LLC",293249,589.76,NEW YORK,NY,"https://preludegrowth.com/, https://www.linkedin.com/company/prelude-growth-partners/"
"MB GLOBAL ADVISERS, LLC",166823,589.54,NEW YORK,NY,"https://www.linkedin.com/company/mb-global-partners, http://www.mbglobalpartners.com"
"JORDAN/ZALAZNICK ADVISERS, INC.",160932,587.15,NEW YORK,NY,"http://www.jzpartners.com, http://www.jzieurope.com"
LEVCO CAPITAL LP,161117,585.0,NEW YORK,NY,N/A
KARYA CAPITAL MANAGEMENT LLC,160413,582.43,NEW YORK,NY,N/A
ATW PARTNERS LLC,283146,581.15,NEW YORK,NY,"http://linkedin.com/company/atw-partners-llc/about/, https://www.atwpartners.com"
"ENTRYPOINT CAPITAL, LLC",313946,578.04,NEW YORK,NY,"https://entrypointcap.com/, https://www.linkedin.com/company/entrypointcap"
"AXIAL READE CAPITAL, LP",301386,576.67,NEW YORK,NY,"https://www.axialreade.com/, https://www.linkedin.com/company/axial-reade-capital/about/"
NOMURA ASSET MANAGEMENT U.S.A. INC,108222,576.31,NEW YORK,NY,https://www.nomura.com/nam-usa/
UNTITLED INVESTMENTS LP,306357,574.01,NEW YORK,NY,"https://www.linkedin.com/company/untitled-investments/about/, https://www.untitledinvestments.com/"
"MSP SPORTS ADVISORS, LLC",311037,565.64,NEW YORK,NY,http://mspsportscapital.com/
ALIGHT CAPITAL MANAGEMENT LP,174705,559.01,NEW YORK,NY,https://www.alightcapital.com/
SPRUCE STREET CAPITAL LP,333213,555.9,NEW YORK,NY,https://www.linkedin.com/company/spruce-street-capital-lp/
BRIDGER MANAGEMENT LLC,160738,553.41,NEW YORK,NY,"https://www.bridgercapital.com, https://www.linkedin.com/company/bridger-management-llc/"
TURNBRIDGE RE FUND MANAGEMENT COMPANY I LLC,291631,552.74,NEW YORK,NY,"http://www.turnbridgeeq.com/, https://www.linkedin.com/company/turnbridge-equities/about/"
GARNET CREDIT MANAGEMENT LLC,334755,552.41,NEW YORK,NY,http://www.garnetcredit.com
TERRAMONT INFRASTRUCTURE MANAGEMENT LLC,317282,549.91,NEW YORK,NY,"https://terramontinfra.com, https://www.linkedin.com/company/terramont-infrastructure/"
SARAZA MANAGEMENT LP,317572,547.44,NEW YORK,NY,https://www.sarazamgmt.com
"CATALUR CAPITAL MANAGEMENT, LP",307830,547.27,NEW YORK,NY,N/A
"NORTH ISLAND VENTURES, LLC",309291,544.78,NEW YORK,NY,"https://x.com/northislandvc, https://www.linkedin.com/company/north-island-ventures/, https://www.logosfund.io, https://www.northisland.ventures/"
SHERBORNE INVESTORS MANAGEMENT LP,160178,541.42,NEW YORK,NY,http://www.sherborneinvestors.com
REPUBLIC CAPITAL ADVISER LLC,316437,537.68,NEW YORK,NY,"http://republiccapital.co, https://angel.co/republic/syndicate, https://www.linkedin.com/company/republic-capital/mycompany/, https://x.com/_rcapital_, https://republiccapital.medium.com/"
BAYBERRY CAPITAL PARTNERS LP,300381,533.43,NEW YORK,NY,"https://bayberrycp.com, https://bayberrycapitalpartnerslp.com, https://www.linkedin.com/company/bayberry-capital-partners-lp"
AXON CAPITAL LP,158281,533.32,NEW YORK,NY,"http://tpgaxon.com, http://axoncap.com, https://www.linkedin.com/company/axoncap/about/"
PEMBROOK CAPITAL MANAGEMENT LLC,161420,532.09,NEW YORK,NY,http://www.pembrookgroup.com
"NEW SILK ROUTE ADVISORS, L.P.",161339,528.9,NEW YORK,NY,"https://www.linkedin.com/company/new-silk-route/about/, http://www.nsrpartners.com"
PARAMOUNT GROUP REAL ESTATE ADVISOR LLC,161324,528.51,NEW YORK,NY,http://www.pgre.com
"BEACONLIGHT CAPITAL, LLC",158390,528.47,NEW YORK,NY,"https://www.linkedin.com/company/beaconlight-capital/, https://www.beaconlightcap.com/"
"ABR DYNAMIC FUNDS, LLC",171847,526.85,NEW YORK,NY,"http://www.abrfunds.com, http://www.abrdynamicfunds.com"
"4X4 CAPITAL, LLC",316647,524.32,NEW YORK,NY,"https://www.linkedin.com/company/4x4capital/, https://4x4capital.com/"
"WASSERSTEIN DEBT OPPORTUNITIES MANAGEMENT, LP",286158,522.28,NEW YORK,NY,"http://www.wasserco.com, https://www.linkedin.com/company/wasserstein-debt-opportunities"
CM INVESTMENT PARTNERS LLC,168941,520.33,NEW YORK,NY,N/A
PACT CAPITAL LLC,333871,520.0,NEW YORK,NY,"https://pactcapitalpartners.com/, https://www.linkedin.com/company/pact-capital-partners/"
LIONSTONE CAPITAL MANAGEMENT LLC,157603,519.76,NEW YORK,NY,N/A
OFF ROAD CAPITAL MANAGEMENT LLC,285344,518.14,NEW YORK,NY,http://offroadcapitalpartners.com/
