Firm Name,CRD Number,AUM (Millions),City,State,Website
"LINCOLNSHIRE MANAGEMENT, INC.",157144,515.99,NEW YORK,NY,"http://www.lincolnshiremgmt.com, http://www.linkedin.com/company/lincolnshire-management"
"VICTOR CAPITAL PARTNERS MANAGEMENT COMPANY, LP",313929,513.22,NEW YORK,NY,"https://www.linkedin.com/company/victor-capital-partners/about/, https://www.victorcapitalpartners.com"
SYCALE ADVISORS (NY) LLC,168204,512.66,NEW YORK,NY,"http://sycale.com/, https://www.linkedin.com/company/sycale-advisors/about/"
"TENERE CAPITAL, LLC",312441,512.37,NEW YORK,NY,http://www.tenerecapital.com
PAINSWICK CAPITAL MANAGEMENT LP,333644,511.15,NEW YORK,NY,"https://www.painswickcapital.com/, https://www.linkedin.com/company/painswick-capital/"
ANTHEMIS CAPITAL MANAGERS (AMERICAS) LLC,323376,510.45,NEW YORK,NY,"https://www.twitter.com/anthemis, https://www.instagram.com/anthemisgroup, https://www.youtube.com/anthemisgroup, http://www.anthemis.com/, https://www.facebook.com/anthemisgroup, https://www.periscope.tv/anthemisgroup, https://www.medium.com/anthemis-insights, https://www.slideshare.net/anthemisgroup, https://www.linkedin.com/company-beta/1342997/"
HURRICANE CAPITAL ADVISORS LLC,314749,510.39,NEW YORK,NY,"https://hurricanecapital.io/, https://www.linkedin.com/company/hurricanecap/"
NINE MASTS CAPITAL ADVISERS LLC,322775,508.74,NEW YORK,NY,http://www.ninemasts.com
POLUS CAPITAL MANAGEMENT (US) INC.,323283,508.38,NEW YORK,NY,"https://www.linkedin.com/company/polus-capital-management/, http://www.poluscapital.com"
"MEP CAPITAL MANAGEMENT, LLC",304299,507.3,NEW YORK,NY,"https://www.linkedin.com/company/mep-capital, https://www.mepcap.com, https://medium.com/mepcapital"
HYPERION CAPITAL ADVISORS LP,304230,505.93,NEW YORK,NY,N/A
LOOM CAPITAL MANAGEMENT LLC,174093,505.76,NEW YORK,NY,https://www.loomcapital.com/
TURNSPIRE CAPITAL PARTNERS LLC,311053,504.42,NEW YORK,NY,"https://www.turnspirecap.com/, https://www.linkedin.com/company/turnspire-capital-partners"
SPX CAPITAL MANAGEMENT LLC,297944,500.0,NEW YORK,NY,"https://www.linkedin.com/company/spx-capital/, https://www.spxcapital.com/"
"EMET CAPITAL MANAGEMENT, LLC",167047,499.25,NEW YORK,NY,http://www.emetcap.com
"EDGE FOCUS CAPITAL MANAGEMENT, LLC",309884,497.77,NEW YORK,NY,"https://www.linkedin.com/company/edge-focus-partners, http://www.edgefocuspartners.com"
BRANT POINT INVESTMENT MANAGEMENT LLC,157572,495.94,NEW YORK,NY,N/A
MATRIX PRIVATE CAPITAL GROUP LLC,285531,494.91,NEW YORK,NY,"http://www.matrixpcg.com, https://www.linkedin.com/company/matrixpcg/"
9YARDS CAPITAL MANAGEMENT LP,299727,494.89,NEW YORK,NY,"https://9yards.vc/, https://www.linkedin.com/company/9yards-capital/, https://twitter.com/9yardscapital/, https://medium.com/9yards/"
"FIREBIRD MANAGEMENT, LLC",136559,494.66,NEW YORK,NY,http://www.fbird.com
RIPOSTE CAPITAL LLC,322217,494.13,NEW YORK,NY,"https://ripostecapital.org/, https://ripostecapital.com/"
"JONES ROAD CAPITAL MANAGEMENT, L.P.",296822,493.49,NEW YORK,NY,http://www.jonesroad.com
"CH GLOBAL CAPITAL MANAGEMENT, LLC",283431,490.57,NEW YORK,NY,"https://www.linkedin.com/company/ch-global-capital/, https://chglobalcapital.com/"
"DG CAPITAL MANAGEMENT, LLC",157258,489.38,NEW YORK,NY,"https://www.linkedin.com/company/dg-capital-management-llc/about/, http://www.dgcapitalmgmt.com"
"A.W. JONES ADVISORS, LLC",161260,487.76,NEW YORK,NY,"http://www.awjones.com, http://www.linkedin.com/company/a.w.jones"
"TWO ROADS PARTNERS MANAGEMENT, LP",326470,487.59,NEW YORK,NY,"https://tworoads.com/, https://www.linkedin.com/company/two-roads-partners/mycompany/"
SETPOINT MANAGEMENT LLC,328702,483.46,NEW YORK,NY,https://setpointcapital.com
"PING CAPITAL MANAGEMENT, INC.",308358,482.18,NEW YORK,NY,"http://www.pingfinancial.com, https://www.linkedin.com/company/ping-capital-management-ltd/about/"
ONYXPOINT GLOBAL MANAGEMENT LP,288356,481.28,NEW YORK,NY,"https://www.linkedin.com/company/onyxpointglobal/, http://www.onyxpointglobal.com"
BELLTOWER PARTNERS LLC,333385,477.7,NEW YORK,NY,"https://belltowerpartners.com/, https://www.linkedin.com/company/belltower-partnersllc/"
"CLOSED LOOP PARTNERS, LLC",307079,477.15,NEW YORK,NY,"https://twitter.com/loopfund, https://www.linkedin.com/company/closed-loop-partners, https://www.closedlooppartners.com"
"ENDICOTT CAPITAL MANAGEMENT, L.L.C.",308447,476.23,NEW YORK,NY,"https://www.endicottgp.com, https://linkedin.com/company/endicott-capital"
KAIN CAPITAL LLC,315669,476.01,NEW YORK,NY,"https://www.linkedin.com/company/kain-capital-llc, https://www.kaincap.com"
HORIKO CAPITAL MANAGEMENT LLC,126343,475.06,NEW YORK,NY,http://www.horikocapital.com/
"HUDSON HILL CAPITAL MANAGEMENT, LLC",316815,474.27,NEW YORK,NY,"https://www.hudsonhillcapital.com, https://www.linkedin.com/company/hudsonhillcapital/about/"
BROAD SKY PARTNERS LLC,317966,472.93,NEW YORK,NY,"https://www.broadskypartners.com/, https://www.linkedin.com/company/broad-sky-partners/"
PETER KIMMELMAN ASSET MANAGEMENT LP,133302,472.31,NEW YORK,NY,N/A
"CASTLE HARLAN, INC.",158106,471.11,NEW YORK,NY,"https://www.castleharlan.com, https://www.linkedin.com/company/castle-harlan/, https://www.linkedin.com/company/branford-castle-partners/, https://www.branfordcastle.com/"
CHESAPEAKE ASSET MANAGEMENT LLC,108994,468.79,NEW YORK,NY,"http://www.chesman.com, https://www.linkedin.com/company/11865541"
"ROTHSCHILD CAPITAL PARTNERS, LLC",161688,467.8,NEW YORK,NY,"https://www.linkedin.com/company/rothschild-capital-partners/about/, https://www.rothcap.com"
NEW LEAF VENTURE PARTNERS LLC,163897,465.07,NEW YORK,NY,"https://www.linkedin.com/company/new-leaf-venture-partners/, https://twitter.com/nlvpartners, http://www.nlvpartners.com"
"CANAM CAPITAL MANAGEMENT, LLC",298587,460.1,NEW YORK,NY,N/A
"CYTIUM INVESTMENT MANAGEMENT, LLC",327890,459.92,NEW YORK,NY,"https://www.cytiuminv.com, https://www.linkedin.com/company/cytium-investment-management/"
"FACT CAPITAL, L.P.",307860,458.24,NEW YORK,NY,"https://www.factcapital.info/, https://www.linkedin.com/company/factcapital"
GRAFINE CAPITAL HOLDINGS LLC,309490,457.61,NEW YORK,NY,"https://www.grafine.com/, https://www.linkedin.com/company/grafine-partners"
"SICART ASSOCIATES, LLC",285275,455.38,NEW YORK,NY,"https://www.linkedin.com/company/15210832/, http://www.sicartassociates.com"
"MACHINE INVESTMENT GROUP, LP",315219,455.3,NEW YORK,NY,"https://machineinv.com/, https://www.linkedin.com/company/machine-investment-group"
"HARRADEN CIRCLE INVESTMENTS, LLC",310227,451.85,NEW YORK,NY,"http://harradencircle.com, https://www.linkedin.com/company/harraden-circle-investments-llc/"
"UNITED AMERICAN SECURITIES, INC.",21274,449.92,NEW YORK,NY,https://www.uasam.com
AISLING CAPITAL MANAGEMENT LP,269994,446.17,NEW YORK,NY,"https://www.aislingcapital.com, https://www.linkedin.com/company/aisling-capital, https://twitter.com/aislinglp"
"LDR CAPITAL MANAGEMENT, LLC",162329,444.69,NEW YORK,NY,"https://www.linkedin.com/company/ldr-capital-management-llc/about/, http://www.ldrcapitalmgmt.com, https://ldrfunds.com/"
"SAGE ADVISORS, LLC",148964,442.47,NEW YORK,NY,N/A
EAGLE'S VIEW CAPITAL MANAGEMENT LLC,160494,441.62,NEW YORK,NY,http://www.evhedge.com
STONECOURT CAPITAL LP,286234,439.68,NEW YORK,NY,"https://www.linkedin.com/company/stonecourt-capital/about/, http://www.stonecourtlp.com/"
VANTERRA CAPITAL LLC,167242,439.38,NEW YORK,NY,http://www.vanterra.com
THIRD NORTH CAPITAL LP,285348,439.22,NEW YORK,NY,N/A
STERLING INVESTORS LP,311318,437.35,NEW YORK,NY,"https://sterling-investors.com, https://www.linkedin.com/company/sterling-investors-lp/"
"RESERVOIR OPERATIONS, L.P.",156800,436.81,NEW YORK,NY,"https://linkedin.com/company/reservoir-capital-group, http://reservoircap.com/"
SPACE CAPITAL MANAGEMENT LLC,287867,435.76,NEW YORK,NY,"https://www.instagram.com/thespacetalent/, https://www.linkedin.com/company/space-talent/, https://www.spacecapital.com, https://www.spacetalent.org, https://x.com/spacecapital, https://x.com/thespacetalent, https://www.facebook.com/spaceangelsholdings/, https://www.instagram.com/spacecapital/, https://www.instagram.com/spaceangels/, https://www.spaceangels.com/, https://x.com/spaceangels, https://www.linkedin.com/company/spaceangels, https://www.linkedin.com/company/spacecapital/, https://bsky.app/profile/spacecapital.com, https://bsky.app/profile/spacetalent.com, https://bsky.app/profile/spaceangels.com"
CLEARLIST CAPITAL LLC,329206,434.12,NEW YORK,NY,"https://www.linkedin.com/company/clearlist, https://www.clearlist.com/"
VOLTERRA TECHNOLOGIES LP,306817,433.74,NEW YORK,NY,https://www.linkedin.com/company/volterra-technologies/
DIKER MANAGEMENT LLC,119786,430.0,NEW YORK,NY,"http://www.dikerllc.com, https://www.linkedin.com/company/diker-management"
"HVPF MANAGER II, LLC",318754,429.97,NEW YORK,NY,"https://hudsonvalleypropertygroup.com/, https://www.linkedin.com/company/hudson-valley-property-group/, https://twitter.com/hvpghousing"
CIP FUND MANAGEMENT LLC,160700,425.56,NEW YORK,NY,https://www.cip-capital.com
"SWS CAPITAL MANAGEMENT, LLC",119043,425.54,NEW YORK,NY,"https://www.linkedin.com/company/sws-capital-management/, https://www.swscapitalmanagement.com/"
"BRUCKMANN, ROSSER, SHERRILL & CO., MANAGEMENT, L.P.",156881,423.4,NEW YORK,NY,https://brs.com/
CROSSBEAM VENTURE PARTNERS LLC,309047,423.09,NEW YORK,NY,"https://crossbeam.vc/, https://www.linkedin.com/company/crossbeamvc, https://moelisassetmanagement.com/crossbeam/"
"ADIT VENTURES MANAGEMENT, LLC",283262,419.85,NEW YORK,NY,https://www.aditventures.com/
"CALIGAN PARTNERS, LP",289887,419.04,NEW YORK,NY,"https://www.caliganpartners.com/, https://www.linkedin.com/company/caligan-partners-lp/"
FIO ADVISORS LP,300903,418.57,NEW YORK,NY,"https://www.foundationcredit.com/, https://www.linkedin.com/company/foundation-credit/"
"ARMOR ADVISORS, L.L.C.",157238,418.36,NEW YORK,NY,http://www.armorcapital.com
SPARK INVESTMENT MANAGEMENT LLC,160815,417.69,NEW YORK,NY,"https://www.sparkim.com, https://www.linkedin.com/company/spark-investment-management-llc"
"VENTURE CAPITAL FUND OF AMERICA III, INC.",160941,415.9,NEW YORK,NY,"http://www.linkedin.com/company/vcfa-group, http://www.vcfa.com"
"APAX PARTNERS US, LLC",157110,415.67,NEW YORK,NY,"https://x.com/apax_partners?lang=en, http://www.facebook.com/pages/apax-partners/552884631539155, http://www.linkedin.com/company/apax-partners, http://www.apax.us.com"
"HILLCREST CREDIT AND INCOME FUND II MANAGER, LLC",288671,414.86,NEW YORK,NY,"http://www.hillcrestfinancellc.com, https://www.linkedin.com/company/hillcrest-finance-llc"
"PHOENICIAN RESOURCES FUND SPONSOR, LLC",304953,413.74,NEW YORK,NY,"https://www.phoenicianres.com/, https://www.linkedin.com/company/phoenician-resources/about/"
RIVERMONT CAPITAL MANAGEMENT LP,311888,413.48,NEW YORK,NY,N/A
"APPOMATTOX ADVISORY, INC",153731,410.82,NEW YORK,NY,"https://www.appomattox.com, https://www.linkedin.com/company/appomattox-advisory-inc."
INTERMARKET CORPORATION,161833,410.3,NEW YORK,NY,http://www.intermarket.us/
"LION POINT CAPITAL, LP",174322,410.26,NEW YORK,NY,http://www.lionpoint.com
CCS PARTNERS LLC,329876,409.15,NEW YORK,NY,https://www.ccs-partners.com/
"MANIKAY PARTNERS, LLC",157272,408.59,NEW YORK,NY,http://www.manikaypartners.com
"FOCUSGROWTH ASSET MANAGEMENT, LP",309245,407.35,NEW YORK,NY,"https://focusgrowth.com/, https://www.linkedin.com/company/focusgrowth-asset-management-lp/about/"
"ALPHA PARTNERS MANAGEMENT, LLC",286141,404.7,NEW YORK,NY,http://www.alphapartners.com
"BRIDGE GROWTH PARTNERS, LLC",168682,403.91,NEW YORK,NY,"http://www.bridgegrowthpartners.com, https://www.linkedin.com/company/bridge-growth-partners-llc"
MFG PARTNERS LLC,330388,402.87,NEW YORK,NY,"https://mfgpartners.com/, https://www.linkedin.com/company/mfg-partners/"
OCO CAPITAL PARTNERS LP,299461,402.81,NEW YORK,NY,N/A
"HUMBLE MANAGEMENT, LLC",322006,402.45,NEW YORK,NY,"https://www.humblegrowth.com, https://www.linkedin.com/company/humblegrowth.com"
"COVARA CAPITAL, LLC",337515,402.0,NEW YORK,NY,"https://www.linkedin.com/company/covaracapital/, https://www.covaracapital.com/"
WELLSPRING CAPITAL MANAGEMENT LLC,161184,401.7,NEW YORK,NY,"https://revelarcapital.com/, https://www.linkedin.com/company/wellspring-capital-management-llc/, https://www.linkedin.com/company/revelar-capital-llc"
"VALUEQUEST ADVISERS, LLC",337781,400.83,NEW YORK,NY,N/A
"DERBY COPELAND MANAGEMENT GROUP, LLC",321102,400.46,NEW YORK,NY,"https://linkedin.com/company/derby-copeland-capital/, https://www.derbycopeland.com/, https://www.instagram.com/derbycopelandcapital/"
"MOMENTUM ADVISORS, LLC",159574,400.14,NEW YORK,NY,"https://twitter.com/momentumadvice, http://www.momentum-advisors.com, https://www.instagram.com/themomentumadvisors"
"SEAPORT CAPITAL, LLC",160734,395.65,NEW YORK,NY,"http://www.seaportcapital.com, https://www.linkedin.com/company/seaport-capital/"
"DYNASTY EQUITY PARTNERS MANAGEMENT, LLC",327607,391.53,NEW YORK,NY,"https://www.linkedin.com/company/dynasty-equity, https://www.dynastyequity.com"
"CARL MARKS MANAGEMENT COMPANY, LLC",107695,391.06,NEW YORK,NY,http://www.carlmarks.com
16TH AMENDMENT ADVISORS LLC,150575,390.23,NEW YORK,NY,https://16rock.com/
"SOUNDCORE CAPITAL PARTNERS, LLC",288749,388.7,NEW YORK,NY,"https://www.linkedin.com/company/soundcore-capital-partners/, https://www.soundcorecap.com/"
COLLABORATIVE CAPITAL ADVISORS LLC,337588,387.84,NEW YORK,NY,https://www.collaborativecapitaladvisors.com
"TOLIS ADVISORS, LP",163345,387.32,NEW YORK,NY,"https://www.linkedin.com/company/tolis-advisors-lp/, http://www.tolisadvisors.com"
"NEBARI PARTNERS, LLC",295859,386.96,NEW YORK,NY,http://nebari.com
VANTAGE INFRASTRUCTURE (USA) INC.,157458,385.49,NEW YORK,NY,"https://www.linkedin.com/company/vantage-infrastructure, https://www.vantageinfra.com"
NOMURA CAPITAL MANAGEMENT LLC,324417,384.12,NEW YORK,NY,"https://www.linkedin.com/company/nomura-capital-management/, https://nomuracapitalmanagement.com/"
"ATLANTIC INVESTMENT MANAGEMENT, INC",137698,383.99,NEW YORK,NY,"http://www.atlanticinvestment.net, https://www.linkedin.com"
CP CAPITAL (US) PARTNERS LP,158979,382.34,NEW YORK,NY,"https://www.linkedin.com/company/cp-capital-us/, https://cpcapitalus.com/"
"JUNIPER INVESTMENT COMPANY, LLC",170814,382.32,NEW YORK,NY,"http://www.juniperfunds.com, https://www.linkedin.com/company/juniper-investment-company"
CAMBER PARTNERS MANAGEMENT LLC,309328,378.75,NEW YORK,NY,"http://www.camber.io, https://www.linkedin.com/company/camberpartners/"
PALM DRIVE CAPITAL LLC,284014,376.39,NEW YORK,NY,"https://x.com/palmdrivevc, https://www.linkedin.com/company/palmdriveventures, http://www.palmdrive.vc"
"ALPHA LEONIS PARTNERS, LLC",314560,373.28,NEW YORK,NY,N/A
"BIRNAM OAK ADVISORS, LP",328180,372.45,NEW YORK,NY,"http://www.birnam-oak.com, https://www.linkedin.com/company/birnam-oak-advisors-lp/"
"OPTO INVESTMENT MANAGEMENT, LLC",316847,370.98,NEW YORK,NY,"https://www.linkedin.com/company/optoinvest, https://www.optoinvest.com/, https://twitter.com/optoinvest"
"LIONHEART STRATEGIC MANAGEMENT, LLC",314990,370.93,NEW YORK,NY,"https://www.lionheartstrategic.com/, https://www.linkedin.com/company/lionheartstrategic/"
"BVP MANAGEMENT COMPANY, LLC",307029,369.76,NEW YORK,NY,https://www.brandvelocitygroup.com
FORMULA GROWTH MANAGEMENT CORP,285005,369.24,NEW YORK,NY,"http://www.formulagrowth.ca, http://www.formulagrowth.com"
HIDDEN LAKE ASSET MANAGEMENT LP,298209,367.92,NEW YORK,NY,N/A
SAVANNA INVESTMENT MANAGEMENT LLC,158770,366.69,NEW YORK,NY,"http://www.savannafund.com, https://www.instagram.com/savannarealestate/?hl=en, https://www.linkedin.com/company/savanna-real-estate-fund"
"EPOCH CAPITAL, US, LLC",315254,366.07,NEW YORK,NY,N/A
"MORGAN RIO CAPITAL MANAGEMENT, LLC",162500,361.76,NEW YORK,NY,N/A
"UNIVERSITY VENTURES FUNDS MANAGEMENT, LLC",163575,360.34,NEW YORK,NY,"https://www.linkedin.com/company/university-ventures/, http://www.universityventures.com, https://www.facebook.com/pg/universityventuresfund/about/?ref=page_internal, https://twitter.com/univenturesfund?lang=en"
EDEN CAPITAL MANAGEMENT LLC,290418,359.6,NEW YORK,NY,"https://www.linkedin.com/company/eden-capital/, http://www.edencp.com/"
"VEDANTA MANAGEMENT, L.P.",160685,358.64,NEW YORK,NY,"http://www.vedantacapital.com, https://www.linkedin.com/company/vedacap"
"BLUE SQUARE ASSET MANAGEMENT, LLC",296802,357.72,NEW YORK,NY,"https://www.linkedin.com/company/bluesquarewealth/, https://www.bluesquarewealth.com"
22V ASSET MANAGEMENT LLC,323898,357.3,NEW YORK,NY,"https://www.linkedin.com/company/22v-asset-management/about/, http://www.22vam.com"
"PAPAMARKOU WELLNER ASSET MANAGEMENT, INC.",131796,357.02,NEW YORK,NY,"http://www.papamarkou.com, https://www.linkedin.com/company/papamarkou-wellner-perkin/"
"TENCORE PARTNERS, LP",299327,355.9,NEW YORK,NY,"http://www.tencorepartners.com, https://www.linkedin.com/company/tencore-partners-l-p/"
BRIDGEPORT MANAGEMENT COMPANY LLC,322871,355.77,NEW YORK,NY,"https://bgptpartners.com, https://www.linkedin.com/company/bridgeportpartners/"
"ACORN CAPITAL ADVISORS, LLC",304164,355.3,NEW YORK,NY,https://www.acornbioventures.com
NIGHT SQUARED LP,333933,355.18,NEW YORK,NY,https://nightsquared.com/
HARKNESS CAPITAL MANAGEMENT LLC,289882,353.95,NEW YORK,NY,http://www.harknesscapital.com/
MAKARORA MANAGEMENT LP,329275,353.34,NEW YORK,NY,"https://makarora-lp.com/, https://www.linkedin.com/company/makarora-lp"
GUMSHOE CAPITAL MANAGEMENT LLC,328451,352.05,NEW YORK,NY,"https://gumshoecap.com, https://www.linkedin.com/company/gumshoe-capital-management/about/"
PERELLA WEINBERG PARTNERS CAPITAL MANAGEMENT LP,143598,351.29,NEW YORK,NY,N/A
SCOGGIN MANAGEMENT LP,157587,350.08,NEW YORK,NY,N/A
"AULDBRASS PARTNERS, LP",161360,348.93,NEW YORK,NY,"http://www.auldbrasspartners.com/, https://www.linkedin.com/company/auldbrass-partners"
"HEALTH CATALYST CAPITAL MANAGEMENT, LLC",282602,348.01,NEW YORK,NY,"https://www.linkedin.com/company/health-catalyst-capital-management-llc/, http://www.healthcatalystcapital.com/"
"BLUESTONE EQUITY PARTNERS, L.P.",323332,347.83,NEW YORK,NY,"https://www.facebook.com/bluestoneequity, https://www.instagram.com/bluestoneequity/, http://bluestoneequity.com/, https://www.linkedin.com/company/bluestoneequity/about/, https://twitter.com/bluestoneequity"
"MELKONIAN CAPITAL MANAGEMENT, LLC",162543,347.75,NEW YORK,NY,"https://www.linkedin.com/company/melkonian-capital-management-llc/, http://www.melkoniancapital.com"
"SAMJO MANAGEMENT, LLC",326808,347.1,NEW YORK,NY,N/A
"PLACEHOLDER MANAGEMENT, LLC",292362,345.43,NEW YORK,NY,"https://twitter.com/placeholdervc?lang=en, https://placeholder.vc"
"NEXT MANAGEMENT ADVISORS, LLC",324644,345.37,NEW YORK,NY,"http://www.next-investors.com, https://www.linkedin.com/company/next-investors/"
"EYRE STREET CAPITAL, LLC",333970,344.92,NEW YORK,NY,http://www.eyrestreet.com
HIVEMIND CAPITAL PARTNERS LLC,319077,340.98,NEW YORK,NY,"https://www.hivemindcapital.co/, https://www.linkedin.com/company/hivemindcapital, https://x.com/hivemindcap"
DURATIONAL CAPITAL MANAGEMENT LP,291371,340.06,NEW YORK,NY,"https://www.linkedin.com/company/durational-capital-management/, http://www.durational.com"
"GARNET EQUITY CAPITAL HOLDINGS, INC.",161948,339.47,NEW YORK,NY,N/A
TWIN POINT CAPITAL LLC,281731,335.43,NEW YORK,NY,http://www.twinpointcap.com
"SECOND ALPHA PARTNERS, LLC",282418,334.87,NEW YORK,NY,"http://secondalpha.com, https://www.linkedin.com/company/second-alpha/about/"
"NOKOTA MANAGEMENT, LP",159004,332.02,NEW YORK,NY,N/A
"MASTERTON CAPITAL MANAGEMENT, LP",308917,330.64,NEW YORK,NY,"https://www.linkedin.com/company/masterton-capital-management-lp, https://www.mastertoncapital.com"
"JACOBS ASSET MANAGEMENT, LLC",156563,329.83,NEW YORK,NY,"https://jampartners.com, https://www.linkedin.com/company/jacobs-asset-management/about/"
"MACQUARIE CAPITAL PARTNERS, LLC",293250,329.68,NEW YORK,NY,N/A
"RPM CAPITAL PARTNERS, LLC",160913,327.02,NEW YORK,NY,N/A
"CHALKSTREAM CAPITAL GROUP, L.P.",153734,327.01,NEW YORK,NY,"https://www.linkedin.com/company/chalkstreamcapitalgroup, https://www.chalkstreamcapital.com"
COALESCENCE PARTNERS INVESTMENT MANAGEMENT LP,285361,326.56,NEW YORK,NY,http://www.cp-im.com
VENOR CAPITAL MANAGEMENT LP,158327,326.16,NEW YORK,NY,"https://www.linkedin.com/company/venor-capital-management/about/, http://www.venorcapital.com"
SILVERPEAK REAL ESTATE PARTNERS L.P.,156018,325.0,NEW YORK,NY,"http://www.silverpeak.com/, https://www.linkedin.com/company/11232294"
"HERONETTA MANAGEMENT, L.P.",157307,324.06,NEW YORK,NY,http://www.heronmgmt.com
"BLUE OPAL CAPITAL, LLC",315680,321.92,NEW YORK,NY,"https://www.blueopalcapital.com/, https://www.linkedin.com/company/blueopalcapital/"
OPTIMIST VENTURES LLC,337808,319.12,NEW YORK,NY,"https://www.linkedin.com/company/optimist-ventures, https://www.optimist.vc"
TRIBUNE INVESTMENT GROUP LP,329330,318.1,NEW YORK,NY,"https://tribunelp.com/, https://www.linkedin.com/company/tribune-investment-group-lp"
"HEARTWOOD FUNDS, LLC",136940,317.6,NEW YORK,NY,https://heartwoodfunds.com
CHARTER OAK ADVISORS LP,328387,315.01,NEW YORK,NY,https://www.charteroakadvisors.com/
RIVERPARK CAPITAL MANAGEMENT LLC,150798,315.0,NEW YORK,NY,"https://www.riverparkfunds.com, https://riverparkvc.com"
OPUS INVESTMENT MANAGEMENT LLC,163262,314.54,NEW YORK,NY,https://opusfund.com
REPUBLIC DIGITAL FUND MANAGER LLC,330536,314.0,NEW YORK,NY,https://fpam.com/
DAVENTRY GROUP LP,306533,313.01,NEW YORK,NY,"https://www.daventrygroup.com/, https://www.linkedin.com/company/daventry-group-lp/"
FOOTPATH VENTURES LP,306142,311.46,NEW YORK,NY,https://www.linkedin.com/company/footpath-ventures/about/
BLUE OWL STRATEGIC EQUITY ADVISORS LLC,325958,310.05,NEW YORK,NY,"https://www.linkedin.com/company/blue-owl-capital, https://www.blueowl.com/, https://twitter.com/blueowlcapital"
"S SQUARED TECHNOLOGY, LLC",124441,306.47,NEW YORK,NY,http://www.ssquared.com
LIVELLO CAPITAL MANAGEMENT LP,305403,305.46,NEW YORK,NY,"https://livellocap.com/, https://www.linkedin.com/company/livello-capital-management/"
DECAGON ASSET MANAGEMENT (US) LP,322135,304.35,NEW YORK,NY,http://www.decagonam.com
"TABOR ASSET MANAGEMENT, LP",304666,303.18,NEW YORK,NY,"https://www.linkedin.com/company/tabor-asset-management, https://taborasset.com/"
OAKCLIFF PARTNERS LLC,162325,302.04,NEW YORK,NY,"https://www.linkedin.com/company/oakcliff-capital, http://www.oakcliffcapital.com/"
PLUM ISLAND PARTNERS LLC,337695,300.0,NEW YORK,NY,https://www.linkedin.com/company/plum-island-partners-llc/about/?viewasmember=true
"FULL IN PARTNERS MANAGEMENT, LLC",309967,299.59,NEW YORK,NY,"https://www.fullin.com, https://www.linkedin.com/company/full-in-partners/"
"ONCE CAPITAL MANAGEMENT, LLC",289714,296.65,NEW YORK,NY,http://oncecapital.com/
SUPERSTATE ADVISERS LLC,336188,295.31,NEW YORK,NY,"https://superstate.co, https://twitter.com/superstatefunds, https://www.linkedin.com/company/superstate"
JRE ADVISORS LLC,318777,294.51,NEW YORK,NY,"https://www.linkedin.com/company/jre-partners, https://www.jre-partners.com/, https://www.instagram.com/jre_partners/"
"CRESTWOOD CAPITAL MANAGEMENT, L.P.",160807,293.1,NEW YORK,NY,"http://www.crestwood.fund, http://www.crestwoodclient.com, https://www.linkedin.com/company/crestwood-capital-management-l.p./, http://www.crestwoodfunds.com, http://www.crestwoodcap.com, http://www.crestwoodcapitalpartners.com"
"GF CAPITAL ASSET ADVISORS, LLC",160144,290.65,NEW YORK,NY,"http://www.gfcap.com, https://www.linkedin.com/company/gf-capital-management/about/"
INDAGO CAPITAL LLC,330343,289.41,NEW YORK,NY,"https://www.linkedin.com/company/indago-capital/, https://www.indagocap.com/"
"STELLA POINT CAPITAL, LP",290013,288.95,NEW YORK,NY,"http://www.stellapoint.com/, https://www.linkedin.com/company/stella-point-capital/"
PALISADE AMERICAS MANAGEMENT LLC,322412,288.4,NEW YORK,NY,"https://palisadeinfrastructure.com/, https://www.linkedin.com/company/palisade-investment-partners/"
LUMOS CAPITAL GROUP LLC,306528,286.3,NEW YORK,NY,"https://www.linkedin.com/company/lumos-capital-group/, http://lumoscapitalgroup.com/"
CLEARFIELD CAPITAL MANAGEMENT LP,174981,280.51,NEW YORK,NY,"http://www.clearfieldcap.com/, https://www.linkedin.com/company/clearfield-capital-management/about/"
EDEN GLOBAL ADVISORS LLC,317761,279.18,NEW YORK,NY,"https://www.linkedin.com/company/eden-global-partners/about/, https://www.edengp.com/"
"ADVANTAGE ADVISERS MANAGEMENT, LLC",108180,277.67,NEW YORK,NY,N/A
"HALE CAPITAL MANAGEMENT, LP",157220,275.96,NEW YORK,NY,"http://www.halecapital.com, http://www.halecapitalmanagment.com, http://www.halefundmanagement.com, https://twitter.com/halefunds, https://www.linkedin.com/company/hale-capital-partners/, http://www.halefunds.com, http://www.halecapitalpartners.com, http://www.halecap.com"
STILWELL VALUE LLC,160697,274.94,NEW YORK,NY,N/A
RITHM CAPITAL ADVISORS LLC,334244,274.12,NEW YORK,NY,"https://www.linkedin.com/company/rithm-capital-corp/, https://www.rithmcap.com"
ADALTA CAPITAL MANAGEMENT LLC,283771,273.93,NEW YORK,NY,http://www.adaltacap.com
"A.R.T. ADVISORS, LLC",161643,273.79,NEW YORK,NY,https://www.linkedin.com/company/a-r-t-advisors-llc
SELLARONDA GLOBAL MANAGEMENT LP,325400,273.2,NEW YORK,NY,"https://www.linkedin.com/company/sellarondaglobal/, https://www.sellarondaglobal.com/"
PHOENIX REALTY GROUP LLC,160249,272.51,NEW YORK,NY,"http://www.phoenixrg.com, https://www.linkedin.com/company/phoenix-realty-group/"
